Region 82 Avg IOU: 0.916350, Class: 0.999757, Obj: 0.999931, No Obj: 0.001977, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.846631, Class: 0.999992, Obj: 0.999699, No Obj: 0.000495, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.825129, Class: 0.999971, Obj: 0.998992, No Obj: 0.000745, .5R: 1.000000, .75R: 0.800000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000004, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.984636, Class: 0.999976, Obj: 0.999688, No Obj: 0.001002, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.863451, Class: 0.996664, Obj: 0.802244, No Obj: 0.000820, .5R: 1.000000, .75R: 1.000000,  count: 5
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000381, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.934268, Class: 0.999992, Obj: 0.999993, No Obj: 0.000173, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.933762, Class: 0.999616, Obj: 0.999934, No Obj: 0.006413, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 94 Avg IOU: 0.825636, Class: 0.994586, Obj: 0.667361, No Obj: 0.000997, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 106 Avg IOU: 0.784611, Class: 0.999223, Obj: 0.973473, No Obj: 0.002211, .5R: 1.000000, .75R: 0.666667,  count: 9
Region 82 Avg IOU: 0.927004, Class: 1.000000, Obj: 0.999999, No Obj: 0.001973, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.868370, Class: 0.995780, Obj: 0.936066, No Obj: 0.003556, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 106 Avg IOU: 0.788503, Class: 0.994201, Obj: 0.851430, No Obj: 0.001749, .5R: 1.000000, .75R: 0.666667,  count: 9
Region 82 Avg IOU: 0.943316, Class: 0.999993, Obj: 0.999936, No Obj: 0.005914, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.891033, Class: 0.999762, Obj: 0.985452, No Obj: 0.005132, .5R: 1.000000, .75R: 0.800000,  count: 5
Region 106 Avg IOU: 0.840647, Class: 0.999937, Obj: 0.977220, No Obj: 0.001593, .5R: 1.000000, .75R: 1.000000,  count: 7
Region 82 Avg IOU: 0.953259, Class: 1.000000, Obj: 0.999998, No Obj: 0.003939, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.927138, Class: 0.999988, Obj: 0.999333, No Obj: 0.001695, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.856881, Class: 0.999905, Obj: 0.981954, No Obj: 0.001667, .5R: 1.000000, .75R: 1.000000,  count: 9
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.915778, Class: 0.999517, Obj: 0.991605, No Obj: 0.002055, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 106 Avg IOU: 0.787163, Class: 0.999958, Obj: 0.988858, No Obj: 0.000572, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.860591, Class: 0.999999, Obj: 0.999993, No Obj: 0.000147, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.913917, Class: 0.999979, Obj: 0.999968, No Obj: 0.007740, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.885893, Class: 0.999885, Obj: 0.999272, No Obj: 0.003781, .5R: 1.000000, .75R: 1.000000,  count: 5
Region 106 Avg IOU: 0.809501, Class: 0.999937, Obj: 0.999166, No Obj: 0.001571, .5R: 1.000000, .75R: 0.857143,  count: 7
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.878876, Class: 0.999992, Obj: 0.994793, No Obj: 0.000755, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.779077, Class: 0.999058, Obj: 0.973759, No Obj: 0.002973, .5R: 1.000000, .75R: 0.500000,  count: 4
Region 106 Avg IOU: 0.796254, Class: 0.986530, Obj: 0.993499, No Obj: 0.000679, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.937851, Class: 0.999996, Obj: 0.999820, No Obj: 0.000268, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: 0.961861, Class: 0.999964, Obj: 0.999316, No Obj: 0.001267, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 106 Avg IOU: 0.848481, Class: 0.999954, Obj: 0.999670, No Obj: 0.000657, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 82 Avg IOU: 0.848561, Class: 0.866509, Obj: 0.999945, No Obj: 0.007352, .5R: 1.000000, .75R: 0.666667,  count: 3
Region 94 Avg IOU: 0.847319, Class: 0.999476, Obj: 0.999851, No Obj: 0.001694, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 106 Avg IOU: 0.821237, Class: 0.999964, Obj: 0.998746, No Obj: 0.001417, .5R: 1.000000, .75R: 0.666667,  count: 6
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.848622, Class: 0.999993, Obj: 0.996386, No Obj: 0.000602, .5R: 1.000000, .75R: 1.000000,  count: 3
Region 82 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000442, .5R: -nan, .75R: -nan,  count: 0
Region 106 Avg IOU: 0.921636, Class: 0.999991, Obj: 0.999740, No Obj: 0.000257, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 82 Avg IOU: 0.922868, Class: 0.999995, Obj: 0.998931, No Obj: 0.003943, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: 0.948341, Class: 0.999977, Obj: 0.999192, No Obj: 0.001932, .5R: 1.000000, .75R: 1.000000,  count: 2
Region 106 Avg IOU: 0.775989, Class: 0.999992, Obj: 0.990387, No Obj: 0.001203, .5R: 1.000000, .75R: 0.714286,  count: 7
Region 82 Avg IOU: 0.959154, Class: 0.999999, Obj: 0.999990, No Obj: 0.003944, .5R: 1.000000, .75R: 1.000000,  count: 1
Region 94 Avg IOU: -nan, Class: -nan, Obj: -nan, No Obj: 0.000000, .5R: -nan, .75R: -nan,  count: 0
